,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,234,234,234,234,234,234,274,273,273,273,273,273,273,272,272,272,272,271,271,0,270
23,0,0,0,0,0,0,0,0,0,0,235,235,235,235,235,234,234,234,234,234,234,273,273,273,273,273,273,272,272,272,271,271,271,270,270,270
24,0,0,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,273,273,273,273,273,273,273,272,272,272,271,271,271,270,270,270
25,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,272,272,272,272,272,272,272,271,271,271,270,270,270,269
26,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,272,272,271,271,271,271,271,270,270,270,269,269,269,269
27,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,272,272,271,271,271,271,271,270,270,270,269,269,269,269
28,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,270,270,270,269,269,269,269,269,268,268,268,268
29,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,269,269,269,269,269,269,269,269,268,268,268,268
30,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,269,269,269,269,269,269,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,268,268,268,268,267,267,267,266,266,0,0,0
32,0,0,0,0,0,0,0,0,0,0,235,235,235,235,235,235,235,235,235,235,0,0,0,269,268,268,268,268,267,265,265,264,264,264,0,0
33,0,0,0,0,0,0,0,0,236,236,235,235,235,235,235,235,235,235,235,235,0,268,268,268,267,267,266,266,266,265,265,264,264,264,0,0
34,0,0,0,0,0,0,0,0,236,236,236,236,236,236,236,235,235,236,236,236,0,268,268,266,266,265,264,264,264,264,263,262,262,262,262,261
35,0,0,0,0,0,0,0,0,0,0,236,236,236,236,236,236,236,236,236,0,0,0,0,266,266,265,264,264,264,264,263,262,262,262,262,261
36,0,0,0,0,0,0,0,0,236,236,236,236,236,236,236,236,236,236,236,236,0,0,0,266,266,265,264,264,262,262,261,261,260,260,260,259
